"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Squat (Barbell)","","","0","warmup","315.0","5","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Squat (Barbell)","","","1","normal","365.0","5","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Squat (Barbell)","","","2","normal","365.0","4","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Squat (Barbell)","","","3","normal","365.0","4","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Squat (Barbell)","","","4","normal","365.0","4","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Front Squat","","","0","normal","135.0","5","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Front Squat","","","1","normal","135.0","8","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Front Squat","","","2","normal","135.0","8","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Bulgarian Split Squat","","","0","normal","115.0","10","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Bulgarian Split Squat","","","1","normal","115.0","10","","",""
"3. Legs and Abs","Jan 21, 2023, 1:21 PM","Jan 21, 2023, 4:10 PM","","Leg Extension (Machine)","","","0","normal","105.0","10","","",""
"3. Legs and Abs","Jan 22, 2023, 3:45 PM","Jan 22, 2023, 4:58 PM","Phew","Squat (Barbell)","","","0","warmup","315.0","5","","",""
"3. Legs and Abs","Jan 22, 2023, 3:45 PM","Jan 22, 2023, 4:58 PM","Phew","Squat (Barbell)","","","1","normal","365.0","5","","",""
"3. Legs and Abs","Jan 22, 2023, 3:45 PM","Jan 22, 2023, 4:58 PM","Phew","Squat (Barbell)","","","2","normal","365.0","4","","",""
"3. Legs and Abs","Jan 22, 2023, 3:45 PM","Jan 22, 2023, 4:58 PM","Phew","Squat (Barbell)","","","3","normal","365.0","4","","",""
"3. Legs and Abs","Jan 22, 2023, 3:45 PM","Jan 22, 2023, 4:58 PM","Phew","Squat (Barbell)","","","4","normal","365.0","4","","",""
"3. Legs and Abs","Jan 22, 2023, 3:45 PM","Jan 22, 2023, 4:58 PM","Phew","Front Squat","","","0","normal","135.0","5","","",""
